datetime,CH1_V,CH1_T_C,CH2_V,CH2_T_C,CH3_V,CH3_T_C,CH4_V,CH4_T_C
2026_05_08_20_54_34.008,2.226000,42.357,2.249100,43.167,2.181300,40.825,2.196400,41.337
2026_05_08_20_54_35.009,2.225600,42.343,2.248400,43.142,2.181100,40.818,2.196300,41.334
2026_05_08_20_54_36.007,2.225600,42.343,2.248700,43.153,2.181300,40.825,2.196400,41.337
2026_05_08_20_54_37.000,2.225700,42.346,2.248800,43.156,2.181300,40.825,2.196500,41.341
2026_05_08_20_54_38.000,2.225500,42.339,2.248700,43.153,2.181100,40.818,2.196400,41.337
2026_05_08_20_54_39.000,2.225600,42.343,2.248400,43.142,2.181500,40.832,2.196400,41.337
2026_05_08_20_54_40.005,2.225500,42.339,2.248300,43.138,2.181500,40.832,2.196400,41.337
2026_05_08_20_54_41.000,2.225500,42.339,2.248300,43.138,2.181200,40.822,2.196400,41.337
2026_05_08_20_54_42.008,2.225700,42.346,2.248500,43.146,2.181300,40.825,2.196100,41.327
2026_05_08_20_54_43.000,2.225600,42.343,2.248800,43.156,2.181100,40.818,2.196400,41.337
2026_05_08_20_54_44.000,2.226000,42.357,2.248500,43.146,2.181300,40.825,2.196400,41.337
2026_05_08_20_54_45.010,2.225900,42.353,2.248300,43.138,2.180900,40.812,2.196400,41.337
2026_05_08_20_54_46.000,2.226000,42.357,2.248500,43.146,2.181100,40.818,2.196400,41.337
2026_05_08_20_54_47.000,2.226300,42.367,2.248900,43.160,2.181200,40.822,2.196400,41.337
2026_05_08_20_54_48.000,2.226300,42.367,2.248700,43.153,2.181100,40.818,2.196500,41.341
2026_05_08_20_54_49.001,2.226300,42.367,2.248800,43.156,2.181100,40.818,2.196700,41.348
2026_05_08_20_54_50.019,2.226000,42.357,2.248500,43.146,2.180800,40.808,2.196500,41.341
2026_05_08_20_54_51.000,2.226000,42.357,2.248900,43.160,2.180900,40.812,2.196700,41.348
2026_05_08_20_54_52.002,2.226300,42.367,2.248700,43.153,2.181100,40.818,2.196700,41.348
2026_05_08_20_54_53.003,2.226100,42.360,2.248800,43.156,2.181100,40.818,2.196500,41.341
2026_05_08_20_54_54.004,2.225900,42.353,2.248700,43.153,2.181200,40.822,2.196500,41.341
2026_05_08_20_54_55.000,2.225500,42.339,2.248300,43.138,2.181100,40.818,2.196800,41.351
2026_05_08_20_54_56.004,2.225700,42.346,2.248400,43.142,2.180700,40.805,2.196800,41.351
2026_05_08_20_54_57.005,2.225900,42.353,2.248400,43.142,2.180900,40.812,2.196400,41.337
2026_05_08_20_54_58.001,2.225900,42.353,2.249100,43.167,2.181200,40.822,2.196500,41.341
2026_05_08_20_54_59.008,2.225900,42.353,2.248900,43.160,2.181500,40.832,2.196500,41.341
2026_05_08_20_55_00.000,2.226000,42.357,2.248900,43.160,2.181200,40.822,2.196700,41.348
2026_05_08_20_55_01.008,2.226400,42.370,2.249100,43.167,2.181300,40.825,2.196800,41.351
2026_05_08_20_55_02.000,2.226900,42.388,2.249100,43.167,2.181500,40.832,2.196700,41.348
2026_05_08_20_55_03.000,2.227100,42.395,2.248900,43.160,2.181500,40.832,2.196800,41.351
2026_05_08_20_55_04.007,2.226800,42.384,2.248700,43.153,2.181600,40.835,2.196700,41.348
2026_05_08_20_55_05.009,2.226700,42.381,2.248900,43.160,2.181700,40.839,2.196700,41.348
2026_05_08_20_55_06.002,2.226800,42.384,2.248700,43.153,2.181500,40.832,2.196700,41.348
2026_05_08_20_55_07.000,2.226900,42.388,2.248800,43.156,2.181600,40.835,2.196700,41.348
2026_05_08_20_55_08.005,2.227100,42.395,2.248900,43.160,2.181700,40.839,2.196700,41.348
2026_05_08_20_55_09.000,2.227100,42.395,2.248700,43.153,2.181700,40.839,2.196700,41.348
2026_05_08_20_55_10.005,2.227200,42.398,2.248500,43.146,2.181500,40.832,2.196700,41.348
2026_05_08_20_55_11.000,2.227300,42.402,2.248700,43.153,2.181300,40.825,2.196700,41.348
2026_05_08_20_55_12.008,2.227100,42.395,2.248800,43.156,2.181500,40.832,2.196900,41.354
2026_05_08_20_55_13.010,2.227200,42.398,2.249100,43.167,2.181500,40.832,2.196700,41.348
2026_05_08_20_55_14.000,2.227200,42.398,2.248900,43.160,2.181300,40.825,2.196800,41.351
2026_05_08_20_55_15.000,2.227100,42.395,2.248800,43.156,2.181200,40.822,2.196900,41.354
2026_05_08_20_55_16.000,2.227200,42.398,2.248700,43.153,2.181100,40.818,2.196700,41.348
2026_05_08_20_55_17.008,2.227100,42.395,2.248700,43.153,2.181500,40.832,2.196700,41.348
2026_05_08_20_55_18.000,2.226800,42.384,2.249100,43.167,2.181900,40.845,2.196700,41.348
2026_05_08_20_55_19.005,2.226900,42.388,2.249500,43.181,2.181900,40.845,2.196800,41.351
2026_05_08_20_55_20.008,2.227600,42.412,2.249500,43.181,2.181900,40.845,2.196700,41.348
2026_05_08_20_55_21.001,2.227200,42.398,2.249200,43.170,2.181900,40.845,2.196700,41.348
2026_05_08_20_55_22.007,2.227100,42.395,2.249200,43.170,2.181900,40.845,2.196700,41.348
2026_05_08_20_55_23.000,2.227200,42.398,2.249200,43.170,2.181900,40.845,2.196700,41.348
2026_05_08_20_55_24.000,2.227300,42.402,2.248900,43.160,2.181700,40.839,2.196900,41.354
2026_05_08_20_55_25.008,2.227300,42.402,2.249200,43.170,2.181600,40.835,2.196500,41.341
2026_05_08_20_55_26.004,2.227200,42.398,2.249300,43.174,2.181700,40.839,2.196800,41.351
2026_05_08_20_55_27.000,2.227700,42.416,2.249500,43.181,2.182000,40.849,2.196900,41.354
2026_05_08_20_55_28.000,2.227600,42.412,2.249600,43.184,2.182300,40.859,2.197100,41.361
2026_05_08_20_55_29.008,2.226800,42.384,2.249600,43.184,2.182000,40.849,2.196900,41.354
2026_05_08_20_55_30.005,2.226800,42.384,2.249200,43.170,2.182000,40.849,2.197100,41.361
2026_05_08_20_55_31.000,2.227100,42.395,2.249200,43.170,2.181900,40.845,2.197100,41.361
2026_05_08_20_55_32.000,2.226500,42.374,2.249600,43.184,2.182100,40.852,2.196800,41.351
2026_05_08_20_55_33.004,2.226700,42.381,2.249200,43.170,2.182000,40.849,2.196900,41.354
2026_05_08_20_55_34.002,2.226500,42.374,2.249700,43.188,2.181900,40.845,2.196900,41.354
2026_05_08_20_55_35.007,2.226500,42.374,2.249300,43.174,2.181900,40.845,2.196900,41.354
2026_05_08_20_55_36.009,2.226500,42.374,2.249900,43.195,2.182100,40.852,2.196800,41.351
2026_05_08_20_55_37.000,2.226500,42.374,2.250000,43.199,2.182300,40.859,2.197100,41.361
2026_05_08_20_55_38.002,2.226900,42.388,2.250000,43.199,2.182100,40.852,2.197100,41.361
2026_05_08_20_55_39.000,2.227300,42.402,2.249900,43.195,2.182700,40.872,2.196800,41.351
2026_05_08_20_55_40.007,2.227700,42.416,2.249900,43.195,2.182500,40.866,2.196800,41.351
2026_05_08_20_55_41.000,2.228000,42.426,2.250000,43.199,2.182400,40.862,2.196900,41.354
2026_05_08_20_55_42.000,2.228000,42.426,2.249900,43.195,2.182400,40.862,2.196900,41.354
2026_05_08_20_55_43.000,2.228000,42.426,2.249900,43.195,2.182400,40.862,2.196900,41.354
2026_05_08_20_55_44.000,2.227900,42.423,2.250100,43.202,2.182400,40.862,2.197100,41.361
