datetime,CH1_V,CH1_T_C,CH2_V,CH2_T_C,CH3_V,CH3_T_C,CH4_V,CH4_T_C
2026_05_08_20_28_38.000,2.016800,35.535,1.813700,29.549,1.844400,30.425,1.952300,33.580
2026_05_08_20_28_39.007,2.017300,35.551,1.817600,29.659,1.844800,30.436,1.952700,33.592
2026_05_08_20_28_40.003,2.017300,35.551,1.818800,29.693,1.844700,30.433,1.952500,33.586
2026_05_08_20_28_41.000,2.017300,35.551,1.813300,29.537,1.844000,30.413,1.953500,33.616
2026_05_08_20_28_42.006,2.017600,35.560,1.805700,29.322,1.844000,30.413,1.953300,33.610
2026_05_08_20_28_43.004,2.017300,35.551,1.796500,29.061,1.844100,30.416,1.953500,33.616
2026_05_08_20_28_44.009,2.017700,35.563,1.799500,29.146,1.844800,30.436,1.953600,33.619
2026_05_08_20_28_45.000,2.017900,35.569,1.802400,29.228,1.844700,30.433,1.953700,33.622
2026_05_08_20_28_46.000,2.017900,35.569,1.803900,29.271,1.844000,30.413,1.953500,33.616
2026_05_08_20_28_47.009,2.017700,35.563,1.805300,29.310,1.844100,30.416,1.954100,33.634
2026_05_08_20_28_48.001,2.018000,35.572,1.808400,29.398,1.844700,30.433,1.954300,33.640
2026_05_08_20_28_49.000,2.017900,35.569,1.810000,29.444,1.844500,30.427,1.954000,33.631
2026_05_08_20_28_50.009,2.017700,35.563,1.809700,29.435,1.845200,30.448,1.953600,33.619
2026_05_08_20_28_51.001,2.018000,35.572,1.813600,29.546,1.845200,30.448,1.953900,33.628
2026_05_08_20_28_52.009,2.018000,35.572,1.818900,29.696,1.845900,30.468,1.953600,33.619
2026_05_08_20_28_53.009,2.018500,35.587,1.819900,29.725,1.846800,30.493,1.953300,33.610
2026_05_08_20_28_54.000,2.018500,35.587,1.817100,29.645,1.847900,30.525,1.953900,33.628
2026_05_08_20_28_55.000,2.018500,35.587,1.812700,29.520,1.848300,30.537,1.954100,33.634
2026_05_08_20_28_56.006,2.018300,35.581,1.813900,29.554,1.848100,30.531,1.954100,33.634
2026_05_08_20_28_57.000,2.018500,35.587,1.816300,29.622,1.847500,30.514,1.953700,33.622
2026_05_08_20_28_58.000,2.018900,35.600,1.816900,29.639,1.846100,30.473,1.954700,33.652
2026_05_08_20_28_59.008,2.018900,35.600,1.815300,29.594,1.845700,30.462,1.954800,33.655
2026_05_08_20_29_00.001,2.018900,35.600,1.808800,29.410,1.846000,30.470,1.955700,33.682
2026_05_08_20_29_01.000,2.018900,35.600,1.809100,29.418,1.846500,30.485,1.956100,33.694
