datetime,CH1_V,CH1_T_C,CH2_V,CH2_T_C,CH3_V,CH3_T_C,CH4_V,CH4_T_C
2026_05_08_20_02_03.005,1.725900,27.086,1.657300,25.199,1.639200,24.706,,
2026_05_08_20_02_04.006,1.726000,27.089,1.657500,25.205,1.639100,24.703,,
2026_05_08_20_02_05.000,1.725900,27.086,1.657500,25.205,1.639500,24.714,,
2026_05_08_20_02_06.000,1.726300,27.097,1.657600,25.207,1.638900,24.698,,
2026_05_08_20_02_07.001,1.726400,27.100,1.657600,25.207,1.638300,24.681,,
2026_05_08_20_02_08.000,1.726300,27.097,1.657600,25.207,1.638000,24.673,,
2026_05_08_20_02_09.000,1.726300,27.097,1.657700,25.210,1.638100,24.676,,
2026_05_08_20_02_10.003,1.726100,27.092,1.657700,25.210,1.638500,24.687,,
2026_05_08_20_02_11.001,1.726100,27.092,1.657700,25.210,1.639200,24.706,,
2026_05_08_20_02_12.000,1.726300,27.097,1.658000,25.218,1.639900,24.725,,
2026_05_08_20_02_13.000,1.727200,27.122,1.658500,25.232,1.640900,24.752,,
2026_05_08_20_02_14.005,1.727300,27.125,1.658900,25.243,1.642000,24.782,,
2026_05_08_20_02_15.009,1.727200,27.122,1.659600,25.262,1.642500,24.796,,
2026_05_08_20_02_16.008,1.727200,27.122,1.659900,25.270,1.641700,24.774,,
2026_05_08_20_02_17.005,1.727700,27.136,1.660300,25.281,1.640300,24.736,,
2026_05_08_20_02_18.012,1.727900,27.142,1.660700,25.292,1.640100,24.730,,
2026_05_08_20_02_19.000,1.728400,27.156,1.660900,25.298,1.640100,24.730,,
2026_05_08_20_02_20.009,1.728300,27.153,1.661900,25.325,1.639200,24.706,,
2026_05_08_20_02_21.003,1.728800,27.167,1.662300,25.336,1.639500,24.714,,
2026_05_08_20_02_22.008,1.728800,27.167,1.662700,25.347,1.640100,24.730,,
2026_05_08_20_02_23.004,1.729500,27.186,1.662700,25.347,1.640000,24.727,,
2026_05_08_20_02_24.007,1.729900,27.197,1.662700,25.347,1.639700,24.719,,
2026_05_08_20_02_25.003,1.729900,27.197,1.663100,25.358,1.639700,24.719,,
2026_05_08_20_02_26.000,1.730400,27.211,1.663300,25.363,1.640700,24.747,,
2026_05_08_20_02_27.000,1.730800,27.222,1.664100,25.385,1.643300,24.817,,
2026_05_08_20_02_28.000,1.731100,27.231,1.664900,25.407,1.645500,24.877,,
2026_05_08_20_02_29.007,1.731600,27.245,1.665200,25.415,1.646800,24.913,,
2026_05_08_20_02_30.000,1.732100,27.258,1.665500,25.423,1.648000,24.945,,
2026_05_08_20_02_31.000,1.732300,27.264,1.665600,25.426,1.649500,24.986,,
2026_05_08_20_02_32.000,1.732900,27.281,1.665900,25.434,1.650100,25.003,,
2026_05_08_20_02_33.000,1.733700,27.303,1.666400,25.448,1.650800,25.022,,
2026_05_08_20_02_34.015,1.734700,27.331,1.666800,25.459,1.651500,25.041,,
2026_05_08_20_02_35.000,1.735200,27.344,1.666900,25.462,1.652400,25.065,,
2026_05_08_20_02_36.000,1.735600,27.356,1.666900,25.462,1.653100,25.085,,
2026_05_08_20_02_37.012,1.735900,27.364,1.667100,25.467,1.653500,25.096,,
2026_05_08_20_02_38.005,1.735900,27.364,1.667500,25.478,1.654100,25.112,,
2026_05_08_20_02_39.000,1.736100,27.369,1.668100,25.495,1.654800,25.131,,
2026_05_08_20_02_40.003,1.736300,27.375,1.668400,25.503,1.655500,25.150,,
2026_05_08_20_02_41.009,1.736300,27.375,1.669200,25.525,1.655600,25.153,,
2026_05_08_20_02_42.013,1.736700,27.386,1.669700,25.538,1.654800,25.131,,
2026_05_08_20_02_43.008,1.736500,27.381,1.670100,25.549,1.654100,25.112,,
2026_05_08_20_02_44.000,1.736900,27.392,1.670800,25.569,1.654400,25.120,,
2026_05_08_20_02_45.009,1.737600,27.411,1.670800,25.569,1.655300,25.145,,
2026_05_08_20_02_46.000,1.738100,27.425,1.670900,25.571,1.655700,25.156,,
2026_05_08_20_02_47.000,1.738300,27.431,1.671200,25.579,1.656500,25.177,,
2026_05_08_20_02_48.000,1.739100,27.453,1.671200,25.579,1.657100,25.194,,
2026_05_08_20_02_49.006,1.739600,27.467,1.671600,25.590,1.657200,25.197,,
2026_05_08_20_02_50.000,1.740000,27.478,1.672500,25.615,1.657100,25.194,,
2026_05_08_20_02_51.003,1.740500,27.492,1.672700,25.621,1.656800,25.186,,
2026_05_08_20_02_52.010,1.740400,27.489,1.673200,25.634,1.656500,25.177,,
2026_05_08_20_02_53.006,1.740400,27.489,1.673500,25.642,1.655600,25.153,,
2026_05_08_20_02_54.010,1.740900,27.503,1.674000,25.656,1.655300,25.145,,
2026_05_08_20_02_55.000,1.740900,27.503,1.674500,25.670,1.655900,25.161,,
2026_05_08_20_02_56.000,1.741200,27.511,1.674900,25.681,1.656400,25.175,,
2026_05_08_20_02_57.002,1.741300,27.514,1.674900,25.681,1.656800,25.186,,
2026_05_08_20_02_58.006,1.741900,27.531,1.675200,25.689,1.657300,25.199,,
2026_05_08_20_02_59.008,1.742000,27.534,1.675700,25.703,1.657300,25.199,,
2026_05_08_20_03_00.001,1.742500,27.547,1.675900,25.708,1.657300,25.199,,
2026_05_08_20_03_01.006,1.742900,27.559,1.676700,25.730,1.657600,25.207,,
2026_05_08_20_03_02.002,1.743200,27.567,1.676700,25.730,1.658000,25.218,,
2026_05_08_20_03_03.000,1.743500,27.575,1.677300,25.747,1.657900,25.216,,
2026_05_08_20_03_04.000,1.744000,27.589,1.677700,25.758,1.657600,25.207,,
2026_05_08_20_03_05.009,1.744400,27.600,1.678500,25.780,1.657100,25.194,,
2026_05_08_20_03_06.007,1.744400,27.600,1.678400,25.777,1.656900,25.188,,
2026_05_08_20_03_07.005,1.744800,27.612,1.678400,25.777,1.655900,25.161,,
2026_05_08_20_03_08.000,1.744800,27.612,1.678800,25.788,1.654700,25.128,,
2026_05_08_20_03_09.002,1.745300,27.625,1.679200,25.799,1.653300,25.090,,
2026_05_08_20_03_10.001,1.745600,27.634,1.680100,25.823,1.651900,25.052,,
2026_05_08_20_03_11.008,1.745700,27.637,1.680500,25.834,1.650300,25.008,,
2026_05_08_20_03_12.005,1.745900,27.642,1.680800,25.843,1.647100,24.921,,
2026_05_08_20_03_13.009,1.746700,27.664,1.680700,25.840,1.644000,24.836,,
2026_05_08_20_03_14.010,1.746800,27.667,1.681100,25.851,1.641500,24.768,,
2026_05_08_20_03_15.000,1.746900,27.670,1.681500,25.862,1.639100,24.703,,
2026_05_08_20_03_16.001,1.747600,27.690,1.682400,25.887,1.636400,24.629,,
2026_05_08_20_03_17.005,1.748000,27.701,1.683100,25.906,1.634100,24.567,,
2026_05_08_20_03_18.000,1.748500,27.715,1.683700,25.922,1.635300,24.600,,
2026_05_08_20_03_19.001,1.748800,27.723,1.683700,25.922,1.634400,24.575,,
2026_05_08_20_03_20.006,1.748800,27.723,1.683700,25.922,1.632100,24.512,,
2026_05_08_20_03_21.001,1.749200,27.734,1.684000,25.930,1.632300,24.518,,
2026_05_08_20_03_22.007,1.750000,27.756,1.684300,25.939,1.633300,24.545,,
2026_05_08_20_03_23.000,1.750700,27.776,1.684500,25.944,1.632500,24.523,,
2026_05_08_20_03_24.008,1.750900,27.782,1.684400,25.941,1.632000,24.510,,
2026_05_08_20_03_25.000,1.752000,27.812,1.684500,25.944,1.633300,24.545,,
2026_05_08_20_03_26.000,1.752300,27.821,1.685100,25.961,1.636500,24.632,,
2026_05_08_20_03_27.005,1.752500,27.826,1.685500,25.972,1.639500,24.714,,
2026_05_08_20_03_28.006,1.752800,27.835,1.685700,25.977,1.641500,24.768,,
2026_05_08_20_03_29.010,1.752800,27.835,1.686000,25.985,1.642500,24.796,,
2026_05_08_20_03_30.000,1.752900,27.837,1.686100,25.988,1.640900,24.752,,
2026_05_08_20_03_31.001,1.753200,27.846,1.686800,26.007,1.639100,24.703,,
2026_05_08_20_03_32.007,1.753600,27.857,1.687300,26.021,1.638000,24.673,,
2026_05_08_20_03_33.001,1.754500,27.882,1.687700,26.032,1.638400,24.684,,
2026_05_08_20_03_34.009,1.754900,27.893,1.688100,26.043,1.638800,24.695,,
2026_05_08_20_03_35.000,1.755300,27.904,1.688100,26.043,1.639600,24.717,,
2026_05_08_20_03_36.000,1.755500,27.910,1.688400,26.051,1.639500,24.714,,
2026_05_08_20_03_37.009,1.755500,27.910,1.688900,26.065,1.640300,24.736,,
2026_05_08_20_03_38.000,1.755300,27.904,1.689200,26.073,1.641300,24.763,,
2026_05_08_20_03_39.000,1.756100,27.927,1.689500,26.082,1.643700,24.828,,
2026_05_08_20_03_40.006,1.756500,27.938,1.689900,26.093,1.645600,24.880,,
2026_05_08_20_03_41.007,1.757100,27.955,1.690300,26.104,1.644300,24.845,,
2026_05_08_20_03_42.001,1.756800,27.946,1.690400,26.106,1.644100,24.839,,
2026_05_08_20_03_43.006,1.757500,27.966,1.691200,26.128,1.646400,24.902,,
2026_05_08_20_03_44.000,1.758100,27.983,1.691500,26.137,1.647600,24.935,,
2026_05_08_20_03_45.001,1.758400,27.991,1.691500,26.137,1.646800,24.913,,
2026_05_08_20_03_46.006,1.758500,27.994,1.692300,26.159,1.644500,24.850,,
2026_05_08_20_03_47.000,1.758900,28.005,1.692400,26.161,1.642500,24.796,,
2026_05_08_20_03_48.007,1.758800,28.002,1.692700,26.170,1.639700,24.719,,
2026_05_08_20_03_49.009,1.759300,28.016,1.693100,26.181,1.636700,24.638,,
2026_05_08_20_03_50.000,1.759600,28.024,1.693700,26.197,1.635200,24.597,,
2026_05_08_20_03_51.000,1.759900,28.033,1.693700,26.197,1.634100,24.567,,
2026_05_08_20_03_52.000,1.760100,28.038,1.694300,26.214,1.633700,24.556,,
2026_05_08_20_03_53.000,1.760100,28.038,1.694700,26.225,1.633700,24.556,,
2026_05_08_20_03_54.000,1.760700,28.055,1.695100,26.236,1.634100,24.567,,
2026_05_08_20_03_55.003,1.761500,28.078,1.695100,26.236,1.635100,24.594,,
2026_05_08_20_03_56.004,1.761700,28.083,1.695200,26.238,1.635700,24.610,,
2026_05_08_20_03_57.006,1.761900,28.089,1.695600,26.249,1.636300,24.627,,
2026_05_08_20_03_58.006,1.762700,28.111,1.695900,26.258,1.637200,24.651,,
2026_05_08_20_03_59.013,1.763500,28.134,1.696100,26.263,1.639200,24.706,,
2026_05_08_20_04_00.010,1.763300,28.128,1.696800,26.282,1.640400,24.738,,
2026_05_08_20_04_01.004,1.764400,28.159,1.697300,26.296,1.642900,24.806,,
2026_05_08_20_04_02.000,1.764700,28.167,1.697700,26.307,1.646100,24.894,,
2026_05_08_20_04_03.000,1.765100,28.178,1.697700,26.307,1.648500,24.959,,
2026_05_08_20_04_04.008,1.764700,28.167,1.698400,26.327,1.649600,24.989,,
2026_05_08_20_04_05.000,1.765500,28.190,1.698800,26.338,1.650300,25.008,,
2026_05_08_20_04_06.000,1.765700,28.195,1.698300,26.324,1.651300,25.035,,
2026_05_08_20_04_07.007,1.765700,28.195,1.698100,26.318,1.652900,25.079,,
2026_05_08_20_04_08.005,1.765900,28.201,1.698400,26.327,1.654800,25.131,,
2026_05_08_20_04_09.009,1.766300,28.212,1.699600,26.360,1.656000,25.164,,
2026_05_08_20_04_10.000,1.766500,28.218,1.700400,26.382,1.657200,25.197,,
2026_05_08_20_04_11.009,1.767500,28.246,1.700500,26.384,1.658400,25.229,,
2026_05_08_20_04_12.001,1.768100,28.262,1.700800,26.393,1.659300,25.254,,
2026_05_08_20_04_13.005,1.768700,28.279,1.700700,26.390,1.660300,25.281,,
2026_05_08_20_04_14.000,1.769300,28.296,1.700700,26.390,1.660300,25.281,,
2026_05_08_20_04_15.001,1.769500,28.302,1.701300,26.406,1.658100,25.221,,
2026_05_08_20_04_16.007,1.769700,28.307,1.701900,26.423,1.656500,25.177,,
2026_05_08_20_04_17.010,1.769700,28.307,1.702100,26.428,1.655600,25.153,,
2026_05_08_20_04_18.000,1.770400,28.327,1.702700,26.445,1.655200,25.142,,
2026_05_08_20_04_19.000,1.771200,28.349,1.703100,26.456,1.654700,25.128,,
2026_05_08_20_04_20.005,1.771300,28.352,1.703600,26.470,1.654800,25.131,,
2026_05_08_20_04_21.009,1.771500,28.358,1.703700,26.473,1.653600,25.098,,
2026_05_08_20_04_22.000,1.771700,28.363,1.703900,26.478,1.652700,25.074,,
2026_05_08_20_04_23.004,1.772000,28.372,1.703900,26.478,1.652700,25.074,,
2026_05_08_20_04_24.000,1.772400,28.383,1.703900,26.478,1.652900,25.079,,
2026_05_08_20_04_25.000,1.772300,28.380,1.704800,26.503,1.651300,25.035,,
2026_05_08_20_04_26.001,1.772400,28.383,1.705300,26.517,1.650300,25.008,,
2026_05_08_20_04_27.018,1.772800,28.394,1.706000,26.536,1.650500,25.014,,
2026_05_08_20_04_28.000,1.772900,28.397,1.706500,26.550,1.652100,25.057,,
2026_05_08_20_04_29.000,1.773300,28.408,1.706800,26.558,1.653900,25.106,,
2026_05_08_20_04_30.000,1.773900,28.425,1.706900,26.561,1.655700,25.156,,
2026_05_08_20_04_31.012,1.774800,28.450,1.707200,26.569,1.657500,25.205,,
2026_05_08_20_04_32.011,1.775100,28.459,1.707500,26.577,1.659900,25.270,,
2026_05_08_20_04_33.003,1.775300,28.464,1.708100,26.594,1.661500,25.314,,
2026_05_08_20_04_34.001,1.775500,28.470,1.708800,26.613,1.660000,25.273,,
2026_05_08_20_04_35.005,1.775700,28.476,1.709100,26.622,1.658400,25.229,,
2026_05_08_20_04_36.009,1.776700,28.504,1.709500,26.633,1.657700,25.210,,
2026_05_08_20_04_37.004,1.776900,28.509,1.709600,26.635,1.657700,25.210,,
2026_05_08_20_04_38.006,1.777200,28.518,1.709500,26.633,1.657300,25.199,,
2026_05_08_20_04_39.001,1.777700,28.532,1.709700,26.638,1.657300,25.199,,
2026_05_08_20_04_40.000,1.778400,28.551,1.709900,26.644,1.657600,25.207,,
2026_05_08_20_04_41.000,1.778800,28.563,1.710000,26.646,1.656100,25.166,,
2026_05_08_20_04_42.000,1.778800,28.563,1.710500,26.660,1.652700,25.074,,
2026_05_08_20_04_43.005,1.778900,28.565,1.711300,26.682,1.649500,24.986,,
2026_05_08_20_04_44.007,1.779200,28.574,1.711300,26.682,1.649100,24.975,,
2026_05_08_20_04_45.009,1.779300,28.577,1.711600,26.691,1.650300,25.008,,
2026_05_08_20_04_46.002,1.780000,28.596,1.711900,26.699,1.652100,25.057,,
2026_05_08_20_04_47.008,1.780500,28.610,1.712100,26.704,1.654900,25.134,,
2026_05_08_20_04_48.004,1.780700,28.616,1.712500,26.716,1.656900,25.188,,
2026_05_08_20_04_49.006,1.780800,28.619,1.712700,26.721,1.658300,25.227,,
2026_05_08_20_04_50.000,1.781500,28.639,1.712800,26.724,1.658900,25.243,,
2026_05_08_20_04_51.008,1.782300,28.661,1.712900,26.727,1.658700,25.238,,
2026_05_08_20_04_52.001,1.782800,28.675,1.713700,26.749,1.658700,25.238,,
2026_05_08_20_04_53.002,1.782900,28.678,1.714000,26.757,1.658500,25.232,,
2026_05_08_20_04_54.000,1.782800,28.675,1.714500,26.771,1.658400,25.229,,
2026_05_08_20_04_55.002,1.783100,28.684,1.714500,26.771,1.657500,25.205,,
2026_05_08_20_04_56.010,1.783500,28.695,1.715100,26.787,1.656400,25.175,,
2026_05_08_20_04_57.005,1.784000,28.709,1.715600,26.801,1.654000,25.109,,
2026_05_08_20_04_58.003,1.784300,28.717,1.716400,26.823,1.650700,25.019,,
2026_05_08_20_04_59.006,1.784400,28.720,1.716700,26.832,1.647500,24.932,,
2026_05_08_20_05_00.009,1.784900,28.734,1.716900,26.837,1.645300,24.872,,
2026_05_08_20_05_01.006,1.785300,28.746,1.717100,26.843,1.643600,24.826,,
2026_05_08_20_05_02.001,1.785900,28.762,1.717300,26.848,1.641700,24.774,,
2026_05_08_20_05_03.000,1.786400,28.777,1.717600,26.857,1.641300,24.763,,
2026_05_08_20_05_04.009,1.786700,28.785,1.718100,26.870,1.640800,24.749,,
2026_05_08_20_05_05.000,1.787300,28.802,1.719200,26.901,1.640400,24.738,,
2026_05_08_20_05_06.010,1.788100,28.824,1.719700,26.915,1.639100,24.703,,
2026_05_08_20_05_07.002,1.788500,28.836,1.719600,26.912,1.637100,24.649,,
2026_05_08_20_05_08.000,1.788400,28.833,1.720300,26.931,1.636700,24.638,,
2026_05_08_20_05_09.006,1.788700,28.841,1.720100,26.926,1.638500,24.687,,
2026_05_08_20_05_10.006,1.789100,28.853,1.719900,26.920,1.639700,24.719,,
2026_05_08_20_05_11.002,1.789300,28.858,1.720000,26.923,1.640800,24.749,,
2026_05_08_20_05_12.007,1.790000,28.878,1.720500,26.937,1.642000,24.782,,
2026_05_08_20_05_13.003,1.790500,28.892,1.721100,26.953,1.643600,24.826,,
2026_05_08_20_05_14.008,1.790700,28.898,1.721300,26.959,1.644000,24.836,,
2026_05_08_20_05_15.000,1.790800,28.901,1.721500,26.964,1.644900,24.861,,
2026_05_08_20_05_16.008,1.790900,28.903,1.722000,26.978,1.646800,24.913,,
2026_05_08_20_05_17.001,1.791600,28.923,1.722300,26.987,1.648000,24.945,,
2026_05_08_20_05_18.006,1.792400,28.946,1.722800,27.000,1.648300,24.954,,
2026_05_08_20_05_19.000,1.792800,28.957,1.723100,27.009,1.648400,24.956,,
2026_05_08_20_05_20.005,1.793100,28.965,1.723900,27.031,1.649500,24.986,,
2026_05_08_20_05_21.001,1.793100,28.965,1.724100,27.037,1.648800,24.967,,
2026_05_08_20_05_22.008,1.793600,28.980,1.724300,27.042,1.645700,24.883,,
2026_05_08_20_05_23.007,1.793900,28.988,1.724900,27.059,1.643100,24.812,,
2026_05_08_20_05_24.001,1.794400,29.002,1.725500,27.075,1.640700,24.747,,
2026_05_08_20_05_25.010,1.794500,29.005,1.726000,27.089,1.639100,24.703,,
2026_05_08_20_05_26.000,1.794800,29.013,1.726400,27.100,1.637900,24.670,,
2026_05_08_20_05_27.006,1.795100,29.022,1.726800,27.111,1.637100,24.649,,
2026_05_08_20_05_28.001,1.795500,29.033,1.727300,27.125,1.635700,24.610,,
2026_05_08_20_05_29.000,1.795100,29.022,1.727500,27.131,1.634100,24.567,,
2026_05_08_20_05_30.000,1.794900,29.016,1.727700,27.136,1.634400,24.575,,
2026_05_08_20_05_31.002,1.795600,29.036,1.728100,27.147,1.633300,24.545,,
2026_05_08_20_05_32.010,1.796100,29.050,1.727900,27.142,1.632300,24.518,,
2026_05_08_20_05_33.001,1.796100,29.050,1.727900,27.142,1.632500,24.523,,
2026_05_08_20_05_34.000,1.795900,29.044,1.728300,27.153,1.632400,24.521,,
2026_05_08_20_05_35.005,1.795900,29.044,1.728700,27.164,1.632300,24.518,,
2026_05_08_20_05_36.002,1.796100,29.050,1.729500,27.186,1.630700,24.474,,
2026_05_08_20_05_37.005,1.796300,29.056,1.729600,27.189,1.629900,24.453,,
2026_05_08_20_05_38.006,1.796700,29.067,1.730100,27.203,1.630300,24.464,,
2026_05_08_20_05_39.008,1.797300,29.084,1.730500,27.214,1.631500,24.496,,
2026_05_08_20_05_40.003,1.797900,29.101,1.730900,27.225,1.633500,24.551,,
2026_05_08_20_05_41.002,1.798700,29.124,1.731300,27.236,1.633700,24.556,,
2026_05_08_20_05_42.000,1.799600,29.149,1.731300,27.236,1.633200,24.542,,
2026_05_08_20_05_43.000,1.799900,29.158,1.731600,27.245,1.632700,24.529,,
2026_05_08_20_05_44.001,1.800000,29.160,1.732000,27.256,1.632500,24.523,,
2026_05_08_20_05_45.016,1.800100,29.163,1.732300,27.264,1.631600,24.499,,
2026_05_08_20_05_46.000,1.800500,29.174,1.732700,27.275,1.630400,24.466,,
2026_05_08_20_05_47.001,1.801100,29.191,1.732700,27.275,1.629600,24.445,,
2026_05_08_20_05_48.008,1.801700,29.208,1.733300,27.292,1.630000,24.455,,
2026_05_08_20_05_49.000,1.801700,29.208,1.733600,27.300,1.629900,24.453,,
2026_05_08_20_05_50.010,1.802400,29.228,1.733500,27.297,1.629200,24.434,,
2026_05_08_20_05_51.008,1.802400,29.228,1.733600,27.300,1.629500,24.442,,
2026_05_08_20_05_52.006,1.802300,29.225,1.733300,27.292,1.629600,24.445,,
2026_05_08_20_05_53.000,1.802700,29.237,1.733700,27.303,1.629700,24.447,,
2026_05_08_20_05_54.001,1.803200,29.251,1.734300,27.319,1.630700,24.474,,
2026_05_08_20_05_55.001,1.804000,29.274,1.734900,27.336,1.630800,24.477,,
2026_05_08_20_05_56.005,1.804300,29.282,1.735200,27.344,1.631100,24.485,,
2026_05_08_20_05_57.005,1.805300,29.310,1.735700,27.358,1.630900,24.480,,
2026_05_08_20_05_58.007,1.805200,29.308,1.736100,27.369,1.630700,24.474,,
2026_05_08_20_05_59.005,1.805500,29.316,1.736000,27.367,1.633300,24.545,,
2026_05_08_20_06_00.000,1.805300,29.310,1.736500,27.381,1.637700,24.665,,
2026_05_08_20_06_01.003,1.805200,29.308,1.737200,27.400,1.641100,24.757,,
2026_05_08_20_06_02.005,1.805900,29.327,1.737200,27.400,1.642300,24.790,,
2026_05_08_20_06_03.006,1.806400,29.341,1.737700,27.414,1.644000,24.836,,
2026_05_08_20_06_04.004,1.807100,29.361,1.738100,27.425,1.646700,24.910,,
2026_05_08_20_06_05.005,1.807100,29.361,1.738100,27.425,1.648800,24.967,,
2026_05_08_20_06_06.003,1.807200,29.364,1.738500,27.436,1.651200,25.033,,
2026_05_08_20_06_07.005,1.807700,29.378,1.738700,27.442,1.652700,25.074,,
2026_05_08_20_06_08.000,1.808300,29.395,1.739500,27.464,1.654700,25.128,,
2026_05_08_20_06_09.009,1.808500,29.401,1.740300,27.486,1.656800,25.186,,
2026_05_08_20_06_10.000,1.808800,29.410,1.740800,27.500,1.656100,25.166,,
2026_05_08_20_06_11.004,1.809300,29.424,1.741300,27.514,1.654900,25.134,,
2026_05_08_20_06_12.007,1.809500,29.429,1.742000,27.534,1.655900,25.161,,
