datetime,CH1_V,CH1_T_C,CH2_V,CH2_T_C,CH3_V,CH3_T_C,CH4_V,CH4_T_C
2026_05_08_20_28_38.000,2.152900,39.875,2.175700,40.637,2.107600,38.394,2.120000,38.796
2026_05_08_20_28_39.007,2.152900,39.875,2.175700,40.637,2.107700,38.397,2.120100,38.799
2026_05_08_20_28_40.003,2.153300,39.889,2.175900,40.643,2.108300,38.417,2.120500,38.812
2026_05_08_20_28_41.000,2.153200,39.885,2.176000,40.647,2.108100,38.410,2.120800,38.822
2026_05_08_20_28_42.006,2.153600,39.899,2.176300,40.657,2.108300,38.417,2.120800,38.822
2026_05_08_20_28_43.004,2.153700,39.902,2.176400,40.660,2.108300,38.417,2.120700,38.818
2026_05_08_20_28_44.009,2.153900,39.909,2.176300,40.657,2.108400,38.420,2.120500,38.812
2026_05_08_20_28_45.000,2.154100,39.915,2.176500,40.663,2.108100,38.410,2.120800,38.822
2026_05_08_20_28_46.000,2.154100,39.915,2.176500,40.663,2.108500,38.423,2.120800,38.822
2026_05_08_20_28_47.000,2.153900,39.909,2.176800,40.674,2.109100,38.443,2.121100,38.831
2026_05_08_20_28_48.001,2.153900,39.909,2.176500,40.663,2.108900,38.436,2.121300,38.838
2026_05_08_20_28_49.000,2.154100,39.915,2.176900,40.677,2.108500,38.423,2.121300,38.838
2026_05_08_20_28_50.009,2.154300,39.922,2.177100,40.684,2.108800,38.433,2.121300,38.838
2026_05_08_20_28_51.001,2.154300,39.922,2.176900,40.677,2.109100,38.443,2.121500,38.844
2026_05_08_20_28_52.009,2.154500,39.928,2.177200,40.687,2.109100,38.443,2.121500,38.844
2026_05_08_20_28_53.009,2.154400,39.925,2.177300,40.690,2.109200,38.446,2.121100,38.831
2026_05_08_20_28_54.000,2.153900,39.909,2.177300,40.690,2.108900,38.436,2.121100,38.831
2026_05_08_20_28_55.000,2.153600,39.899,2.176800,40.674,2.108800,38.433,2.121200,38.835
2026_05_08_20_28_56.006,2.153900,39.909,2.177100,40.684,2.109100,38.443,2.121200,38.835
2026_05_08_20_28_57.000,2.154100,39.915,2.177200,40.687,2.109200,38.446,2.121300,38.838
2026_05_08_20_28_58.000,2.154300,39.922,2.177300,40.690,2.109500,38.455,2.121700,38.851
2026_05_08_20_28_59.008,2.154500,39.928,2.177300,40.690,2.109300,38.449,2.121600,38.848
2026_05_08_20_29_00.001,2.154500,39.928,2.177200,40.687,2.109300,38.449,2.121700,38.851
2026_05_08_20_29_01.000,2.154800,39.938,2.177300,40.690,2.109500,38.455,2.121600,38.848
2026_05_08_20_29_02.000,2.154800,39.938,2.177300,40.690,2.109500,38.455,2.121500,38.844
2026_05_08_20_29_03.009,2.154900,39.942,2.177700,40.704,2.109700,38.462,2.121500,38.844
2026_05_08_20_29_04.000,2.154900,39.942,2.177700,40.704,2.109600,38.459,2.122100,38.864
2026_05_08_20_29_05.005,2.155100,39.948,2.178400,40.727,2.109900,38.468,2.122500,38.877
2026_05_08_20_29_06.000,2.155200,39.952,2.178400,40.727,2.110300,38.481,2.122700,38.883
2026_05_08_20_29_07.006,2.155500,39.962,2.178700,40.738,2.110300,38.481,2.122700,38.883
2026_05_08_20_29_08.007,2.155300,39.955,2.178300,40.724,2.110100,38.475,2.122900,38.890
2026_05_08_20_29_09.000,2.155600,39.965,2.178500,40.731,2.110000,38.472,2.122900,38.890
2026_05_08_20_29_10.004,2.155500,39.962,2.178400,40.727,2.110100,38.475,2.123100,38.896
2026_05_08_20_29_11.004,2.155900,39.975,2.178500,40.731,2.110100,38.475,2.123100,38.896
2026_05_08_20_29_12.010,2.156100,39.982,2.178300,40.724,2.110300,38.481,2.122800,38.887
2026_05_08_20_29_13.011,2.156100,39.982,2.178400,40.727,2.110400,38.485,2.122700,38.883
2026_05_08_20_29_14.000,2.156000,39.978,2.178500,40.731,2.110500,38.488,2.123200,38.900
2026_05_08_20_29_15.003,2.156000,39.978,2.178800,40.741,2.110700,38.494,2.122900,38.890
2026_05_08_20_29_16.005,2.156100,39.982,2.178700,40.738,2.110700,38.494,2.122800,38.887
2026_05_08_20_29_17.018,2.156100,39.982,2.178900,40.744,2.110800,38.497,2.122900,38.890
2026_05_08_20_29_18.000,2.156300,39.988,2.179100,40.751,2.111100,38.507,2.123300,38.903
2026_05_08_20_29_19.001,2.156500,39.995,2.179200,40.754,2.110900,38.501,2.123600,38.913
2026_05_08_20_29_20.011,2.156800,40.005,2.179100,40.751,2.111300,38.514,2.123600,38.913
2026_05_08_20_29_21.010,2.156700,40.001,2.179200,40.754,2.111100,38.507,2.123500,38.909
2026_05_08_20_29_22.000,2.156500,39.995,2.179600,40.768,2.111200,38.510,2.123600,38.913
2026_05_08_20_29_23.005,2.156700,40.001,2.179700,40.771,2.111500,38.520,2.123500,38.909
2026_05_08_20_29_24.000,2.156700,40.001,2.180000,40.781,2.111500,38.520,2.123700,38.916
2026_05_08_20_29_25.005,2.156900,40.008,2.180000,40.781,2.111600,38.523,2.124000,38.926
2026_05_08_20_29_26.000,2.157200,40.018,2.180300,40.791,2.112000,38.536,2.124400,38.939
2026_05_08_20_29_27.002,2.157100,40.015,2.180300,40.791,2.111900,38.533,2.124700,38.949
2026_05_08_20_29_28.006,2.157200,40.018,2.180300,40.791,2.112000,38.536,2.124700,38.949
2026_05_08_20_29_29.008,2.157100,40.015,2.180000,40.781,2.112100,38.539,2.124700,38.949
2026_05_08_20_29_30.008,2.157200,40.018,2.180300,40.791,2.112100,38.539,2.124700,38.949
2026_05_08_20_29_31.000,2.157200,40.018,2.180400,40.795,2.111900,38.533,2.124800,38.952
2026_05_08_20_29_32.002,2.156700,40.001,2.180500,40.798,2.112400,38.549,2.125100,38.962
2026_05_08_20_29_33.010,2.156400,39.991,2.181100,40.818,2.112400,38.549,2.125100,38.962
2026_05_08_20_29_34.000,2.156700,40.001,2.181300,40.825,2.112900,38.565,2.124900,38.955
2026_05_08_20_29_35.001,2.156700,40.001,2.181200,40.822,2.112900,38.565,2.125200,38.965
2026_05_08_20_29_36.011,2.156900,40.008,2.181700,40.839,2.113200,38.575,2.125100,38.962
2026_05_08_20_29_37.000,2.157600,40.031,2.180900,40.812,2.113100,38.572,2.125600,38.978
2026_05_08_20_29_38.001,2.157100,40.015,2.181500,40.832,2.113300,38.578,2.125500,38.975
2026_05_08_20_29_39.005,2.157300,40.021,2.181600,40.835,2.113500,38.585,2.125200,38.965
2026_05_08_20_29_40.008,2.157500,40.028,2.182100,40.852,2.113300,38.578,2.125100,38.962
2026_05_08_20_29_41.007,2.157900,40.041,2.182000,40.849,2.112800,38.562,2.125600,38.978
2026_05_08_20_29_42.000,2.158500,40.061,2.182000,40.849,2.113200,38.575,2.125600,38.978
2026_05_08_20_29_43.000,2.158500,40.061,2.182000,40.849,2.113200,38.575,2.125300,38.968
2026_05_08_20_29_44.004,2.158400,40.058,2.182100,40.852,2.113100,38.572,2.125300,38.968
2026_05_08_20_29_45.000,2.158700,40.068,2.181900,40.845,2.113100,38.572,2.125600,38.978
2026_05_08_20_29_46.000,2.158400,40.058,2.181900,40.845,2.113200,38.575,2.125600,38.978
2026_05_08_20_29_47.001,2.158100,40.048,2.182000,40.849,2.113200,38.575,2.126000,38.991
2026_05_08_20_29_48.000,2.158400,40.058,2.181700,40.839,2.113600,38.588,2.126000,38.991
2026_05_08_20_29_49.000,2.158500,40.061,2.181900,40.845,2.113600,38.588,2.126100,38.994
2026_05_08_20_29_50.000,2.158500,40.061,2.181900,40.845,2.113500,38.585,2.126300,39.001
2026_05_08_20_29_51.009,2.158500,40.061,2.182300,40.859,2.113600,38.588,2.126400,39.004
2026_05_08_20_29_52.000,2.158700,40.068,2.182300,40.859,2.114000,38.601,2.126700,39.014
2026_05_08_20_29_53.000,2.158000,40.045,2.182400,40.862,2.114100,38.604,2.126500,39.007
2026_05_08_20_29_54.007,2.158300,40.055,2.182500,40.866,2.114300,38.611,2.126700,39.014
2026_05_08_20_29_55.001,2.159100,40.081,2.182800,40.876,2.114500,38.617,2.126400,39.004
2026_05_08_20_29_56.006,2.159300,40.088,2.182700,40.872,2.114300,38.611,2.126500,39.007
2026_05_08_20_29_57.009,2.159300,40.088,2.183100,40.886,2.114800,38.627,2.127200,39.030
2026_05_08_20_29_58.002,2.159200,40.085,2.183200,40.889,2.115100,38.637,2.127300,39.033
2026_05_08_20_29_59.000,2.159200,40.085,2.183500,40.900,2.115100,38.637,2.127300,39.033
2026_05_08_20_30_00.000,2.159300,40.088,2.183600,40.903,2.115100,38.637,2.127500,39.040
2026_05_08_20_30_01.000,2.160000,40.111,2.183600,40.903,2.115300,38.643,2.127300,39.033
2026_05_08_20_30_02.006,2.159600,40.098,2.183600,40.903,2.115500,38.650,2.127200,39.030
2026_05_08_20_30_03.005,2.159700,40.101,2.183600,40.903,2.115300,38.643,2.127200,39.030
2026_05_08_20_30_04.000,2.159700,40.101,2.183700,40.906,2.115500,38.650,2.127500,39.040
2026_05_08_20_30_05.000,2.160000,40.111,2.183700,40.906,2.115500,38.650,2.127300,39.033
2026_05_08_20_30_06.001,2.160100,40.115,2.183500,40.900,2.115500,38.650,2.127700,39.046
2026_05_08_20_30_07.000,2.160100,40.115,2.183500,40.900,2.115600,38.653,2.127500,39.040
2026_05_08_20_30_08.004,2.160100,40.115,2.183500,40.900,2.115600,38.653,2.127600,39.043
2026_05_08_20_30_09.000,2.160000,40.111,2.183700,40.906,2.115600,38.653,2.127500,39.040
2026_05_08_20_30_10.005,2.159600,40.098,2.183500,40.900,2.115500,38.650,2.127600,39.043
2026_05_08_20_30_11.005,2.159700,40.101,2.183700,40.906,2.115500,38.650,2.127700,39.046
2026_05_08_20_30_12.000,2.160000,40.111,2.184300,40.927,2.115500,38.650,2.128100,39.059
2026_05_08_20_30_13.009,2.160000,40.111,2.184400,40.930,2.115300,38.643,2.127700,39.046
2026_05_08_20_30_14.008,2.160000,40.111,2.184300,40.927,2.115700,38.656,2.128100,39.059
2026_05_08_20_30_15.016,2.160800,40.138,2.184400,40.930,2.116000,38.666,2.128300,39.066
2026_05_08_20_30_16.000,2.160800,40.138,2.184400,40.930,2.116100,38.669,2.128400,39.069
2026_05_08_20_30_17.002,2.161100,40.148,2.184500,40.933,2.115700,38.656,2.128300,39.066
2026_05_08_20_30_18.000,2.160800,40.138,2.184500,40.933,2.116000,38.666,2.128300,39.066
2026_05_08_20_30_19.002,2.160900,40.141,2.185100,40.954,2.115600,38.653,2.128300,39.066
2026_05_08_20_30_20.000,2.161100,40.148,2.184900,40.947,2.115500,38.650,2.128500,39.073
2026_05_08_20_30_21.000,2.161600,40.165,2.184800,40.943,2.115600,38.653,2.128400,39.069
2026_05_08_20_30_22.006,2.161200,40.151,2.184900,40.947,2.115700,38.656,2.128500,39.073
2026_05_08_20_30_23.003,2.161600,40.165,2.185100,40.954,2.115900,38.663,2.128500,39.073
2026_05_08_20_30_24.005,2.161500,40.161,2.185200,40.957,2.115900,38.663,2.129100,39.092
2026_05_08_20_30_25.009,2.161300,40.155,2.185200,40.957,2.115700,38.656,2.129100,39.092
2026_05_08_20_30_26.003,2.161600,40.165,2.185600,40.971,2.116300,38.676,2.129100,39.092
2026_05_08_20_30_27.000,2.162000,40.178,2.185600,40.971,2.116100,38.669,2.129300,39.099
2026_05_08_20_30_28.004,2.161900,40.175,2.185600,40.971,2.116300,38.676,2.129500,39.105
2026_05_08_20_30_29.000,2.162000,40.178,2.185900,40.981,2.116500,38.682,2.129500,39.105
2026_05_08_20_30_30.002,2.162300,40.188,2.185900,40.981,2.116300,38.676,2.129200,39.095
2026_05_08_20_30_31.010,2.162700,40.201,2.185600,40.971,2.116800,38.692,2.129300,39.099
2026_05_08_20_30_32.005,2.162800,40.205,2.186100,40.987,2.117500,38.714,2.129500,39.105
2026_05_08_20_30_33.000,2.162400,40.191,2.186100,40.987,2.117300,38.708,2.129700,39.112
2026_05_08_20_30_34.000,2.162500,40.195,2.186100,40.987,2.117700,38.721,2.129700,39.112
2026_05_08_20_30_35.008,2.162300,40.188,2.186100,40.987,2.117700,38.721,2.129700,39.112
2026_05_08_20_30_36.006,2.162500,40.195,2.186400,40.998,2.117600,38.718,2.129500,39.105
2026_05_08_20_30_37.000,2.162500,40.195,2.186500,41.001,2.117300,38.708,2.130000,39.122
2026_05_08_20_30_38.000,2.162800,40.205,2.186500,41.001,2.117200,38.705,2.130100,39.125
2026_05_08_20_30_39.000,2.162500,40.195,2.186400,40.998,2.117500,38.714,2.130100,39.125
2026_05_08_20_30_40.011,2.162900,40.208,2.186300,40.994,2.117200,38.705,2.130500,39.138
2026_05_08_20_30_41.000,2.163200,40.218,2.186300,40.994,2.117600,38.718,2.130400,39.135
2026_05_08_20_30_42.007,2.162800,40.205,2.186700,41.008,2.117900,38.727,2.130500,39.138
2026_05_08_20_30_43.003,2.162900,40.208,2.186700,41.008,2.117700,38.721,2.130300,39.131
