datetime,CH1_V,CH1_T_C,CH2_V,CH2_T_C,CH3_V,CH3_T_C,CH4_V,CH4_T_C
2026_05_08_20_54_34.011,2.093700,37.947,1.829700,30.004,1.918900,32.590,2.036400,36.141
2026_05_08_20_54_35.009,2.093500,37.941,1.827900,29.953,1.918400,32.575,2.036800,36.153
2026_05_08_20_54_36.007,2.093900,37.954,1.824000,29.842,1.917700,32.554,2.036500,36.144
2026_05_08_20_54_37.000,2.093300,37.935,1.822900,29.810,1.917100,32.537,2.037100,36.163
2026_05_08_20_54_38.000,2.093700,37.947,1.822700,29.804,1.917200,32.539,2.037700,36.181
2026_05_08_20_54_39.000,2.093500,37.941,1.824000,29.842,1.917900,32.560,2.038300,36.200
2026_05_08_20_54_40.005,2.093200,37.931,1.819700,29.719,1.917300,32.542,2.038000,36.191
2026_05_08_20_54_41.000,2.093100,37.928,1.814700,29.577,1.916900,32.531,2.037600,36.178
2026_05_08_20_54_42.008,2.093300,37.935,1.810900,29.469,1.916900,32.531,2.036400,36.141
2026_05_08_20_54_43.000,2.093300,37.935,1.813500,29.543,1.917100,32.537,2.036300,36.138
2026_05_08_20_54_44.000,2.093300,37.935,1.816000,29.614,1.917600,32.551,2.036100,36.132
2026_05_08_20_54_45.010,2.093300,37.935,1.819300,29.708,1.917300,32.542,2.034400,36.079
2026_05_08_20_54_46.000,2.092900,37.922,1.824000,29.842,1.916100,32.507,2.033300,36.045
2026_05_08_20_54_47.000,2.093100,37.928,1.826500,29.913,1.914000,32.445,2.033500,36.051
2026_05_08_20_54_48.000,2.093300,37.935,1.822700,29.804,1.913900,32.442,2.034500,36.082
2026_05_08_20_54_49.001,2.093100,37.928,1.818900,29.696,1.915500,32.489,2.035500,36.113
2026_05_08_20_54_50.019,2.092900,37.922,1.816800,29.637,1.917200,32.539,2.035700,36.119
2026_05_08_20_54_51.000,2.092800,37.919,1.815500,29.600,1.918400,32.575,2.035700,36.119
2026_05_08_20_54_52.002,2.092900,37.922,1.816700,29.634,1.919700,32.613,2.035600,36.116
2026_05_08_20_54_53.003,2.092700,37.915,1.819100,29.702,1.920100,32.625,2.035500,36.113
2026_05_08_20_54_54.004,2.092700,37.915,1.818900,29.696,1.920500,32.637,2.035500,36.113
2026_05_08_20_54_55.000,2.093100,37.928,1.819300,29.708,1.921600,32.669,2.036000,36.129
2026_05_08_20_54_56.004,2.092900,37.922,1.815600,29.603,1.921900,32.678,2.035900,36.125
2026_05_08_20_54_57.005,2.092700,37.915,1.811300,29.480,1.920800,32.646,2.035900,36.125
2026_05_08_20_54_58.001,2.092700,37.915,1.812500,29.514,1.919500,32.607,2.035600,36.116
2026_05_08_20_54_59.008,2.093100,37.928,1.816500,29.628,1.918100,32.566,2.035300,36.107
2026_05_08_20_55_00.000,2.093300,37.935,1.818900,29.696,1.918000,32.563,2.034900,36.094
2026_05_08_20_55_01.008,2.093200,37.931,1.819200,29.705,1.918400,32.575,2.035700,36.119
2026_05_08_20_55_02.000,2.093200,37.931,1.817300,29.651,1.918800,32.587,2.035700,36.119
2026_05_08_20_55_03.000,2.093100,37.928,1.815700,29.605,1.918300,32.572,2.036300,36.138
2026_05_08_20_55_04.007,2.093200,37.931,1.822800,29.807,1.917900,32.560,2.036100,36.132
2026_05_08_20_55_05.009,2.093700,37.947,1.828900,29.981,1.918000,32.563,2.036000,36.129
2026_05_08_20_55_06.002,2.093500,37.941,1.828900,29.981,1.916900,32.531,2.036300,36.138
2026_05_08_20_55_07.000,2.093200,37.931,1.822900,29.810,1.915300,32.484,2.036300,36.138
2026_05_08_20_55_08.005,2.093300,37.935,1.814300,29.566,1.914400,32.457,2.034900,36.094
2026_05_08_20_55_09.000,2.093500,37.941,1.806900,29.356,1.914800,32.469,2.035500,36.113
2026_05_08_20_55_10.005,2.093600,37.944,1.806000,29.330,1.915600,32.492,2.036300,36.138
2026_05_08_20_55_11.000,2.093700,37.947,1.810000,29.444,1.915900,32.501,2.036300,36.138
2026_05_08_20_55_12.008,2.094000,37.957,1.812100,29.503,1.916400,32.516,2.037200,36.166
2026_05_08_20_55_13.010,2.094100,37.960,1.807900,29.384,1.917500,32.548,2.036500,36.144
2026_05_08_20_55_14.000,2.093600,37.944,1.808300,29.395,1.918500,32.578,2.036000,36.129
2026_05_08_20_55_15.000,2.093600,37.944,1.815600,29.603,1.919600,32.610,2.036300,36.138
2026_05_08_20_55_16.000,2.093700,37.947,1.820800,29.750,1.920400,32.634,2.037500,36.175
2026_05_08_20_55_17.008,2.093700,37.947,1.821500,29.770,1.920700,32.643,2.038800,36.216
2026_05_08_20_55_18.004,2.093900,37.954,1.816800,29.637,1.920900,32.649,2.038900,36.219
2026_05_08_20_55_19.005,2.093700,37.947,1.810400,29.455,1.919200,32.598,2.038300,36.200
2026_05_08_20_55_20.008,2.093700,37.947,1.805500,29.316,1.919200,32.598,2.037300,36.169
2026_05_08_20_55_21.001,2.093700,37.947,1.805700,29.322,1.919300,32.601,2.035900,36.125
2026_05_08_20_55_22.007,2.094100,37.960,1.803900,29.271,1.919900,32.619,2.036000,36.129
2026_05_08_20_55_23.000,2.094000,37.957,1.798900,29.129,1.919500,32.607,2.036300,36.138
2026_05_08_20_55_24.000,2.093700,37.947,1.794100,28.994,1.919200,32.598,2.034500,36.082
2026_05_08_20_55_25.008,2.093900,37.954,1.790500,28.892,1.919100,32.595,2.034000,36.066
2026_05_08_20_55_26.003,2.094100,37.960,1.791700,28.926,1.920100,32.625,2.033600,36.054
2026_05_08_20_55_27.000,2.094000,37.957,1.796400,29.059,1.920700,32.643,2.034700,36.088
2026_05_08_20_55_28.000,2.093500,37.941,1.804100,29.276,1.921700,32.672,2.036100,36.132
2026_05_08_20_55_29.008,2.093900,37.954,1.812700,29.520,1.921700,32.672,2.035900,36.125
2026_05_08_20_55_30.005,2.093700,37.947,1.822300,29.793,1.921100,32.654,2.035300,36.107
2026_05_08_20_55_31.000,2.094000,37.957,1.830400,30.024,1.920500,32.637,2.035100,36.101
2026_05_08_20_55_32.000,2.094300,37.967,1.828100,29.958,1.920700,32.643,2.035300,36.107
2026_05_08_20_55_33.004,2.094700,37.979,1.828300,29.964,1.921700,32.672,2.035300,36.107
2026_05_08_20_55_34.002,2.094700,37.979,1.831600,30.058,1.921900,32.678,2.035500,36.113
2026_05_08_20_55_35.007,2.094400,37.970,1.836300,30.193,1.920700,32.643,2.035200,36.104
2026_05_08_20_55_36.009,2.094500,37.973,1.835200,30.161,1.920100,32.625,2.034800,36.091
2026_05_08_20_55_37.000,2.094400,37.970,1.841300,30.336,1.920700,32.643,2.034500,36.082
2026_05_08_20_55_38.002,2.094100,37.960,1.848500,30.542,1.919600,32.610,2.035700,36.119
2026_05_08_20_55_39.000,2.094000,37.957,1.851200,30.620,1.918700,32.584,2.034900,36.094
2026_05_08_20_55_40.007,2.094100,37.960,1.846300,30.479,1.918300,32.572,2.035300,36.107
2026_05_08_20_55_41.000,2.094300,37.967,1.836500,30.198,1.917700,32.554,2.035500,36.113
2026_05_08_20_55_42.000,2.094100,37.960,1.825900,29.896,1.918000,32.563,2.036100,36.132
2026_05_08_20_55_43.000,2.094400,37.970,1.818400,29.682,1.918100,32.566,2.036700,36.150
2026_05_08_20_55_44.000,2.094300,37.967,1.809200,29.421,1.916800,32.528,2.036300,36.138
2026_05_08_20_55_45.001,2.094400,37.970,1.801900,29.214,1.916400,32.516,2.036500,36.144
2026_05_08_20_55_46.000,2.094400,37.970,1.797700,29.095,1.917100,32.537,2.036000,36.129
2026_05_08_20_55_47.008,2.094300,37.967,1.797100,29.078,1.917500,32.548,2.035900,36.125
2026_05_08_20_55_48.000,2.094300,37.967,1.797500,29.090,1.918000,32.563,2.035700,36.119
2026_05_08_20_55_49.001,2.094400,37.970,1.809900,29.441,1.918700,32.584,2.035300,36.107
2026_05_08_20_55_50.014,2.094900,37.986,1.822300,29.793,1.918300,32.572,2.035600,36.116
2026_05_08_20_55_51.000,2.094900,37.986,1.829500,29.998,1.917900,32.560,2.034800,36.091
2026_05_08_20_55_52.006,2.094900,37.986,1.838400,30.253,1.918700,32.584,2.035300,36.107
2026_05_08_20_55_53.006,2.094500,37.973,1.840000,30.299,1.919100,32.595,2.035500,36.113
2026_05_08_20_55_54.010,2.094500,37.973,1.837500,30.227,1.918800,32.587,2.034500,36.082
2026_05_08_20_55_55.006,2.094500,37.973,1.828300,29.964,1.918300,32.572,2.034300,36.076
2026_05_08_20_55_56.001,2.094100,37.960,1.819700,29.719,1.917700,32.554,2.034100,36.070
2026_05_08_20_55_57.002,2.094000,37.957,1.818000,29.671,1.918100,32.566,2.033600,36.054
2026_05_08_20_55_58.000,2.094400,37.970,1.815100,29.588,1.918100,32.566,2.034000,36.066
2026_05_08_20_55_59.003,2.094500,37.973,1.811100,29.475,1.918100,32.566,2.033900,36.063
2026_05_08_20_56_00.010,2.094300,37.967,1.807500,29.373,1.917900,32.560,2.034300,36.076
2026_05_08_20_56_01.000,2.094800,37.983,1.803500,29.259,1.917900,32.560,2.035100,36.101
2026_05_08_20_56_02.000,2.094500,37.973,1.801900,29.214,1.917600,32.551,2.035500,36.113
2026_05_08_20_56_03.006,2.094900,37.986,1.807700,29.378,1.918000,32.563,2.035900,36.125
