datetime,CH1_V,CH1_T_C,CH2_V,CH2_T_C,CH3_V,CH3_T_C,CH4_V,CH4_T_C
2026_05_08_20_29_49.000,2.066400,37.080,2.006100,35.207,1.625500,24.333,,
2026_05_08_20_29_50.000,2.064700,37.026,2.006800,35.228,1.625200,24.325,,
2026_05_08_20_29_51.009,2.064300,37.014,2.007600,35.253,1.624700,24.311,,
2026_05_08_20_29_52.000,2.064900,37.033,2.008000,35.265,1.624000,24.292,,
2026_05_08_20_29_53.000,2.065300,37.045,2.008700,35.286,1.624300,24.301,,
2026_05_08_20_29_54.007,2.066700,37.089,2.008800,35.290,1.623700,24.284,,
2026_05_08_20_29_55.001,2.067600,37.118,2.008900,35.293,1.623200,24.271,,
2026_05_08_20_29_56.006,2.069500,37.178,2.008400,35.277,1.622700,24.257,,
2026_05_08_20_29_57.009,2.069900,37.190,2.008400,35.277,1.621700,24.230,,
2026_05_08_20_29_58.002,2.070300,37.203,2.007200,35.241,1.622000,24.238,,
2026_05_08_20_29_59.000,2.071300,37.235,2.006300,35.213,1.622000,24.238,,
2026_05_08_20_30_00.000,2.071700,37.247,2.006500,35.219,1.621100,24.214,,
2026_05_08_20_30_01.000,2.072300,37.266,2.005100,35.176,1.620800,24.206,,
2026_05_08_20_30_02.006,2.073500,37.304,2.005200,35.179,1.620800,24.206,,
2026_05_08_20_30_03.005,2.073600,37.307,2.005500,35.189,1.620900,24.208,,
2026_05_08_20_30_04.000,2.072800,37.282,2.005700,35.195,1.621200,24.216,,
2026_05_08_20_30_05.000,2.071600,37.244,2.005700,35.195,1.621700,24.230,,
2026_05_08_20_30_06.001,2.070700,37.216,2.006000,35.204,1.622100,24.241,,
2026_05_08_20_30_07.005,2.070500,37.209,2.005500,35.189,1.622500,24.252,,
2026_05_08_20_30_08.004,2.069700,37.184,2.004300,35.152,1.623500,24.279,,
2026_05_08_20_30_09.000,2.070400,37.206,2.004400,35.155,1.624300,24.301,,
2026_05_08_20_30_10.007,2.069900,37.190,2.005600,35.192,1.624500,24.306,,
2026_05_08_20_30_11.005,2.069700,37.184,2.007200,35.241,1.624700,24.311,,
